2026-03-12 10:35:57 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:35:58 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:35:58 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:36:33 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:36:34 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:36:34 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:38:28 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:38:28 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:38:28 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:39:43 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:39:43 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:39:44 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:40:04 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:40:04 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:40:04 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:41:16 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:41:16 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:41:17 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:42:52 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:42:53 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:42:53 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
2026-03-12 10:43:40 | INFO     | loader.digital_twin | Loading digital twin dataset from: C:\Users\rpgra\OneDrive\Desktop\Augenblick\structure_intelligence\datasets\5 [digital twin]\bridge_digital_twin_dataset.csv
2026-03-12 10:43:40 | INFO     | loader.digital_twin | Raw shape: (43200, 54)
2026-03-12 10:43:40 | INFO     | loader.digital_twin | [digital_twin [raw]] shape=(43200, 53) | NaN=113315 | numeric_cols=51 | dtypes: {dtype('float32'): 45, dtype('int8'): 6, CategoricalDtype(categories=['Critical', 'Healthy', 'Stressed'], ordered=False, categories_dtype=object): 1, CategoricalDtype(categories=['Cables', 'Deck', 'Piers'], ordered=False, categories_dtype=object): 1}
